,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
1179,PN,30,34,20
1180,PN,14,11,5
1181,PN,12,8,8
1182,PN,15,17,20
1183,PN,0,0,1
1184,PN,1,1,1
1185,PN,2,3,6
1186,PN,9,20,7
1187,PN,21,26,14
1188,PN,3,4,2
1189,PN,16,16,11
1190,PN,11,17,12
1191,PN,0,0,0
1192,PN,18,19,14
1193,PN,0,2,0
1194,PN,0,1,0
1195,PN,15,9,12
1196,PN,18,22,20
1197,PN,17,33,23
1198,PN,10,11,10
1199,PN,23,26,17
1200,PN,6,4,5
1201,PN,1,1,2
1202,PN,17,11,10
1203,PN,0,0,1
1204,PN,25,20,13
1205,PN,25,24,13
1206,PN,24,20,11
1207,PN,2,0,1
1208,PN,25,27,17
1209,PN,4,8,5
1210,PN,2,13,7
1211,PN,20,21,9
1212,PN,22,21,8
1213,PN,8,10,7
1214,PN,20,24,8
1215,PN,2,2,0
1216,PN,0,1,0
1217,PN,19,14,14
1218,PN,5,7,5
1219,PN,23,19,14
1220,PN,0,1,5
1221,PN,25,28,12
1222,PN,0,0,0
1223,PN,31,24,26
1224,PN,3,5,1
1225,PN,4,2,5
1226,PN,0,1,0
1227,PN,30,23,20
1228,PN,15,16,12
